# prefix,country_code,region_code,city,postal
2a05:dfc1:5a00::/40,MO,,,
2a05:dfc1:5a01::/48,MO,,,
2a05:dfc1:5a02::/48,KP,KP-01,Pyongyang,999093
2a05:dfc1:5a03::/48,HK,HK-NIS,Yung Shue Wan,
2a05:dfc1:5a04::/48,TW,TW-CHA,Changhua,50044
2a05:dfc1:5a05::/48,BN,BN-BE,Belait,KA1131
2a05:dfc1:5a06::/48,JP,JP-28,Hyogo,651-0056
2a05:dfc1:5a07::/48,EG,EG-DK,Dakahlia,
2a05:dfc1:5a08::/48,MM,MM-07,Ayeyarwady,
2a05:dfc1:5a09::/48,TL,TL-AL,Aileu,
2a05:dfc1:5a0a::/48,AC,HK-NIS,,
2a05:dfc1:5a0b::/48,AD,AD-07,Santa Coloma,
2a05:dfc1:5a0c::/48,AE,AE-UQ,Umm Al Quwain City,
2a05:dfc1:5a0d::/48,AF,AF-BAL,Mazari Sharif,1701
2a05:dfc1:5a0e::/48,AG,AG-04,St John's,
2a05:dfc1:5a0f::/48,AI,,The Valley,SE7 8BL
2a05:dfc1:5a10::/48,AL,AL-06,Pogradec,7301
2a05:dfc1:5a11::/48,AM,AM-VD,Yeghegnadzor,3601
2a05:dfc1:5a12::/48,AO,AO-LSU,Saurimo,
2a05:dfc1:5a13::/48,AQ,,McMurdo Station,
2a05:dfc1:5a14::/48,AR,AR-B,Zelaya,
2a05:dfc1:5a15::/48,AS,AS-W,Vaitogi,
2a05:dfc1:5a16::/48,AT,AT-3,Irenental,3013
2a05:dfc1:5a17::/48,AU,AU-SA,Yunta,5440
2a05:dfc1:5a18::/48,AW,,San Nicolas,
2a05:dfc1:5a19::/48,AX,,Vardoe,9950
2a05:dfc1:5a1a::/48,AZ,AZ-NX,Nakhchivan,
2a05:dfc1:5a1b::/48,BA,BA-SRP,Zvornik,75400
2a05:dfc1:5a1c::/48,BB,BB-01,Worthing,
2a05:dfc1:5a1d::/48,BD,BD-E,Ullapara,
2a05:dfc1:5a1e::/48,BE,BE-VLG,Zwijndrecht,
2a05:dfc1:5a1f::/48,BF,BF-04,Tenkodogo,
2a05:dfc1:5a20::/48,BG,BG-03,Beloslav,9178
2a05:dfc1:5a21::/48,BH,BH-13,Tubli,4808
2a05:dfc1:5a22::/48,BI,BI-MA,Mabanda,
2a05:dfc1:5a23::/48,BJ,BJ-CO,Savalou,
2a05:dfc1:5a24::/48,BL,,Gustavia,97133
2a05:dfc1:5a25::/48,BM,BM-HA,Sunnyside,
2a05:dfc1:5a26::/48,BO,BO-T,Yacuiba,
2a05:dfc1:5a27::/48,BQ,BQ-SA,Bottom,
2a05:dfc1:5a28::/48,BR,BR-PB,Zabele,
2a05:dfc1:5a29::/48,BS,BS-WG,West End,
2a05:dfc1:5a2a::/48,BT,BT-32,Trongsa,
2a05:dfc1:5a2b::/48,BV,,,
2a05:dfc1:5a2c::/48,BW,BW-KG,Tshabong,1425
2a05:dfc1:5a2d::/48,BY,BY-MI,Zhodzina,
2a05:dfc1:5a2e::/48,BZ,BZ-OW,Trial Farm,
2a05:dfc1:5a2f::/48,CA,CA-BC,Fort St. James,
2a05:dfc1:5a30::/48,CC,,West Island,6799
2a05:dfc1:5a31::/48,CD,CD-TO,Yangambi,
2a05:dfc1:5a32::/48,CF,CF-HM,Zemio,
2a05:dfc1:5a33::/48,CG,CG-2,Sibiti,
2a05:dfc1:5a34::/48,CH,CH-BL,Zwingen,4222
2a05:dfc1:5a35::/48,CI,CI-YM,Zata,
2a05:dfc1:5a36::/48,CK,,Te Tautua,
2a05:dfc1:5a37::/48,CL,CL-VS,Zapallar,
2a05:dfc1:5a38::/48,CM,CM-NW,To,
2a05:dfc1:5a39::/48,ZM,ZM-04,Chama,
2a05:dfc1:5a3a::/48,CO,CO-CUN,Zipacon,
2a05:dfc1:5a3b::/48,ZW,ZW-MN,Victoria Falls,
2a05:dfc1:5a3c::/48,CR,CR-A,Zarcero,
2a05:dfc1:5a3d::/48,CU,CU-13,Santiago de Cuba,
2a05:dfc1:5a3e::/48,CV,CV-BR,Nova Sintra,9110
2a05:dfc1:5a3f::/48,CW,,Willemstad,
2a05:dfc1:5a40::/48,CX,,Flying Fish Cove,6798
2a05:dfc1:5a41::/48,CY,CY-02,Souni,
2a05:dfc1:5a42::/48,CZ,CZ-52,Dvur Kralove nad Labem,
2a05:dfc1:5a43::/48,DE,DE-SN,Zwota,8267
2a05:dfc1:5a44::/48,DG,DE-SN,,
2a05:dfc1:5a45::/48,DJ,DJ-TA,Tadjoura,
2a05:dfc1:5a46::/48,DK,DK-81,Vra,
2a05:dfc1:5a47::/48,DM,DM-06,Saint Joseph,50700
2a05:dfc1:5a48::/48,DO,DO-29,Yamasa,
2a05:dfc1:5a49::/48,DZ,DZ-35,Boumerdas,
2a05:dfc1:5a4a::/48,EA,DZ-35,,
2a05:dfc1:5a4b::/48,EC,EC-Z,Zumbi,
2a05:dfc1:5a4c::/48,EE,EE-45,Voka,41701
2a05:dfc1:5a4d::/48,EH,,Laayoune Plage,
2a05:dfc1:5a4e::/48,ER,ER-SK,Massawa,
2a05:dfc1:5a4f::/48,ES,ES-AN,Zurgena,
2a05:dfc1:5a50::/48,ET,ET-SO,Warder,24646
2a05:dfc1:5a51::/48,EU,ET-SO,,
2a05:dfc1:5a52::/48,FI,FI-14,Ylivieska,84100
2a05:dfc1:5a53::/48,FJ,FJ-C,Suva,
2a05:dfc1:5a54::/48,FK,,Stanley,
2a05:dfc1:5a55::/48,FM,FM-TRK,Weno,96942
2a05:dfc1:5a56::/48,FO,,Vestmanna,350
2a05:dfc1:5a57::/48,FR,FR-NAQ,Blaye,33390
2a05:dfc1:5a58::/48,GA,GA-9,Oyem,
2a05:dfc1:5a59::/48,GB,GB-WLS,Ystrad Mynach,
2a05:dfc1:5a5a::/48,GD,GD-05,Victoria,
2a05:dfc1:5a5b::/48,GE,GE-SZ,Zugdidi,
2a05:dfc1:5a5c::/48,GF,,Regina,
2a05:dfc1:5a5d::/48,GG,,St Peter Port,
2a05:dfc1:5a5e::/48,GH,GH-NP,Yendi,
2a05:dfc1:5a5f::/48,GI,,Gibraltar,
2a05:dfc1:5a60::/48,GL,,Uummannaq Kommune,
2a05:dfc1:5a61::/48,GM,GM-W,Sukuta,
2a05:dfc1:5a62::/48,GN,GN-M,Timbo,
2a05:dfc1:5a63::/48,GP,,Vieux Fort,97141
2a05:dfc1:5a64::/48,GQ,GQ-WN,Oyala,
2a05:dfc1:5a65::/48,GR,GR-F,Zakynthos,
2a05:dfc1:5a66::/48,GS,,,
2a05:dfc1:5a67::/48,GT,GT-ZA,Zacapa,
2a05:dfc1:5a68::/48,GU,,Santa Rita,
2a05:dfc1:5a69::/48,GW,GW-CA,Canchungo,
2a05:dfc1:5a6a::/48,GY,GY-ES,Stewartville,55976
2a05:dfc1:5a6b::/48,HM,,,
2a05:dfc1:5a6c::/48,HN,HN-CR,Puerto Cortez,66360
2a05:dfc1:5a6d::/48,HR,HR-17,Vranjic,
2a05:dfc1:5a6e::/48,HT,HT-SD,Ti Delmas,29000
2a05:dfc1:5a6f::/48,HU,HU-HB,Zsaka,4142
2a05:dfc1:5a70::/48,IC,,,
2a05:dfc1:5a71::/48,ID,,,
2a05:dfc1:5a72::/48,IE,,,
2a05:dfc1:5a73::/48,IL,,,
2a05:dfc1:5a74::/48,IM,,,
2a05:dfc1:5a75::/48,IN,,,
2a05:dfc1:5a76::/48,IO,,,
2a05:dfc1:5a77::/48,IQ,,,
2a05:dfc1:5a78::/48,IR,,,
2a05:dfc1:5a79::/48,IS,,,
2a05:dfc1:5a7a::/48,IT,,,
2a05:dfc1:5a7b::/48,JE,,,
2a05:dfc1:5a7c::/48,JM,,,
2a05:dfc1:5a7d::/48,JO,,,
2a05:dfc1:5a7e::/48,KE,,,
2a05:dfc1:5a7f::/48,KG,,,
2a05:dfc1:5a80::/48,KH,,,
2a05:dfc1:5a81::/48,KI,,,
2a05:dfc1:5a82::/48,KM,,,
2a05:dfc1:5a83::/48,KN,,,
2a05:dfc1:5a84::/48,KR,,,
2a05:dfc1:5a85::/48,KW,,,
2a05:dfc1:5a86::/48,KY,,,
2a05:dfc1:5a87::/48,LB,,,
2a05:dfc1:5a88::/48,KZ,,,
2a05:dfc1:5a89::/48,LA,,,
2a05:dfc1:5a8a::/48,LC,,,
2a05:dfc1:5a8b::/48,LI,,,
2a05:dfc1:5a8c::/48,LK,,,
2a05:dfc1:5a8d::/48,LR,,,
2a05:dfc1:5a8e::/48,LS,,,
2a05:dfc1:5a8f::/48,LT,,,
2a05:dfc1:5a90::/48,LU,,,
2a05:dfc1:5a91::/48,LV,,,
2a05:dfc1:5a92::/48,LY,,,
2a05:dfc1:5a93::/48,MA,,,
2a05:dfc1:5a94::/48,MC,,,
2a05:dfc1:5a95::/48,MD,,,
2a05:dfc1:5a96::/48,ME,,,
2a05:dfc1:5a97::/48,MF,,,
2a05:dfc1:5a98::/48,MG,,,
2a05:dfc1:5a99::/48,MH,,,
2a05:dfc1:5a9a::/48,MK,,,
2a05:dfc1:5a9b::/48,ML,,,
2a05:dfc1:5a9c::/48,MN,,,
2a05:dfc1:5a9d::/48,MP,,,
2a05:dfc1:5a9e::/48,MQ,,,
2a05:dfc1:5a9f::/48,MR,,,
2a05:dfc1:5aa0::/48,MS,,,
2a05:dfc1:5aa1::/48,MT,,,
2a05:dfc1:5aa2::/48,MU,,,
2a05:dfc1:5aa3::/48,MV,,,
2a05:dfc1:5aa4::/48,MW,,,
2a05:dfc1:5aa5::/48,MX,,,
2a05:dfc1:5aa6::/48,MY,,,
2a05:dfc1:5aa7::/48,MZ,,,
2a05:dfc1:5aa8::/48,NA,,,
2a05:dfc1:5aa9::/48,NC,,,
2a05:dfc1:5aaa::/48,NE,,,
2a05:dfc1:5aab::/48,NF,,,
2a05:dfc1:5aac::/48,NG,,,
2a05:dfc1:5aad::/48,NI,,,
2a05:dfc1:5aae::/48,NL,,,
2a05:dfc1:5aaf::/48,NO,,,
2a05:dfc1:5ab0::/48,NP,,,
2a05:dfc1:5ab1::/48,NR,,,
2a05:dfc1:5ab2::/48,NU,,,
2a05:dfc1:5ab3::/48,NZ,,,
2a05:dfc1:5ab4::/48,OM,,,
2a05:dfc1:5ab5::/48,PA,,,
2a05:dfc1:5ab6::/48,PE,,,
2a05:dfc1:5ab7::/48,PF,,,
2a05:dfc1:5ab8::/48,PG,,,
2a05:dfc1:5ab9::/48,PH,,,
2a05:dfc1:5aba::/48,PK,,,
2a05:dfc1:5abb::/48,PL,,,
2a05:dfc1:5abc::/48,PM,,,
2a05:dfc1:5abd::/48,PN,,,
2a05:dfc1:5abe::/48,PR,,,
2a05:dfc1:5abf::/48,PS,,,
2a05:dfc1:5ac0::/48,PT,,,
2a05:dfc1:5ac1::/48,PW,,,
2a05:dfc1:5ac2::/48,PY,,,
2a05:dfc1:5ac3::/48,QA,,,
2a05:dfc1:5ac4::/48,RE,,,
2a05:dfc1:5ac5::/48,RO,,,
2a05:dfc1:5ac6::/48,RS,,,
2a05:dfc1:5ac7::/48,RU,,,
2a05:dfc1:5ac8::/48,RW,,,
2a05:dfc1:5ac9::/48,SA,,,
2a05:dfc1:5aca::/48,SB,,,
2a05:dfc1:5acb::/48,SC,,,
2a05:dfc1:5acc::/48,SD,,,
2a05:dfc1:5acd::/48,SE,,,
2a05:dfc1:5ace::/48,SG,,,
2a05:dfc1:5acf::/48,SH,,,
2a05:dfc1:5ad0::/48,SI,,,
2a05:dfc1:5ad1::/48,SJ,,,
2a05:dfc1:5ad2::/48,SK,,,
2a05:dfc1:5ad3::/48,SL,,,
2a05:dfc1:5ad4::/48,SM,,,
2a05:dfc1:5ad5::/48,SN,,,
2a05:dfc1:5ad6::/48,SO,,,
2a05:dfc1:5ad7::/48,SR,,,
2a05:dfc1:5ad8::/48,SS,,,
2a05:dfc1:5ad9::/48,ST,,,
2a05:dfc1:5ada::/48,SV,,,
2a05:dfc1:5adb::/48,SX,,,
2a05:dfc1:5adc::/48,SY,,,
2a05:dfc1:5add::/48,SZ,,,
2a05:dfc1:5ade::/48,TA,,,
2a05:dfc1:5adf::/48,TC,,,
2a05:dfc1:5ae0::/48,TD,,,
2a05:dfc1:5ae1::/48,TF,,,
2a05:dfc1:5ae2::/48,TG,,,
2a05:dfc1:5ae3::/48,TH,,,
2a05:dfc1:5ae4::/48,TJ,,,
2a05:dfc1:5ae5::/48,TK,,,
2a05:dfc1:5ae6::/48,TM,,,
2a05:dfc1:5ae7::/48,TN,,,
2a05:dfc1:5ae8::/48,TO,,,
2a05:dfc1:5ae9::/48,TR,,,
2a05:dfc1:5aea::/48,TT,,,
2a05:dfc1:5aeb::/48,TV,,,
2a05:dfc1:5aec::/48,TZ,,,
2a05:dfc1:5aed::/48,UA,,,
2a05:dfc1:5aee::/48,UG,,,
2a05:dfc1:5aef::/48,UM,,,
2a05:dfc1:5af0::/48,ZA,,,
2a05:dfc1:5af1::/48,US,,,
2a05:dfc1:5af2::/48,UY,,,
2a05:dfc1:5af3::/48,UZ,,,
2a05:dfc1:5af4::/48,VA,,,
2a05:dfc1:5af5::/48,VC,,,
2a05:dfc1:5af6::/48,VE,,,
2a05:dfc1:5af7::/48,VG,,,
2a05:dfc1:5af8::/48,VI,,,
2a05:dfc1:5af9::/48,VN,,,
2a05:dfc1:5afa::/48,VU,,,
2a05:dfc1:5afb::/48,WF,,,
2a05:dfc1:5afc::/48,WS,,,
2a05:dfc1:5afd::/48,XK,,,
2a05:dfc1:5afe::/48,YE,,,
2a05:dfc1:5aff::/48,YT,,,
